call_number,file1,file2
ENA NS 25 008,ENA_NS_25_008_r.tif.jpg,ENA_NS_25_008_v.tif.jpg
ENA NS 25 009,ENA_NS_25_009_r.tif.jpg,ENA_NS_25_009_v.tif.jpg
ENA NS 25 010,ENA_NS_25_010_r.tif.jpg,ENA_NS_25_010_v.tif.jpg
ENA NS 25 011,ENA_NS_25_011_r.tif.jpg,ENA_NS_25_011_v.tif.jpg
ENA NS 25 012,ENA_NS_25_012_r.tif.jpg,ENA_NS_25_012_v.tif.jpg
ENA NS 25 013,ENA_NS_25_013_r.tif.jpg,ENA_NS_25_013_v.tif.jpg
ENA NS 25 014,ENA_NS_25_014_r.tif.jpg,ENA_NS_25_014_v.tif.jpg
ENA NS 25 015,ENA_NS_25_015_r.tif.jpg,ENA_NS_25_015_v.tif.jpg
ENA NS 25 016,ENA_NS_25_016_r.tif.jpg,ENA_NS_25_016_v.tif.jpg
ENA NS 25 017,ENA_NS_25_017_r.tif.jpg,ENA_NS_25_017_v.tif.jpg
ENA NS 25 018,ENA_NS_25_018_r.tif.jpg,ENA_NS_25_018_v.tif.jpg
ENA NS 25 019,ENA_NS_25_019_r.tif.jpg,ENA_NS_25_019_v.tif.jpg
ENA NS 25 020,ENA_NS_25_020_r.tif.jpg,ENA_NS_25_020_v.tif.jpg
ENA NS 25 021,ENA_NS_25_021_r.tif.jpg,ENA_NS_25_021_v.tif.jpg
ENA NS 25 022,ENA_NS_25_022_r.tif.jpg,ENA_NS_25_022_v.tif.jpg
ENA NS 25 023,ENA_NS_25_023_r.tif.jpg,ENA_NS_25_023_v.tif.jpg
ENA NS 25 024,ENA_NS_25_024_r.tif.jpg,ENA_NS_25_024_v.tif.jpg
ENA NS 25 025,ENA_NS_25_025_r.tif.jpg,ENA_NS_25_025_v.tif.jpg
ENA NS 25 026,ENA_NS_25_026_r.tif.jpg,ENA_NS_25_026_v.tif.jpg
ENA NS 25 027,ENA_NS_25_027_r.tif.jpg,ENA_NS_25_027_v.tif.jpg
ENA NS 25 028,ENA_NS_25_028_r.tif.jpg,ENA_NS_25_028_v.tif.jpg
ENA NS 25 029,ENA_NS_25_029_r.tif.jpg,ENA_NS_25_029_v.tif.jpg
